Год,Месяц,Подразделение,Выручка,Чистая прибыль,Операционные расходы,Активы,Обязательства,Коэффициент текущей ликвидности,Доля рынка,Количество сотрудников,Рентабельность продаж,Оборачиваемость активов,Рентабельность активов,Долговая нагрузка
2018,Январь,Подразделение_16,1165227.66,295220.22,796202.38,265532.13,153120.71,2.48,13.56,389,25.34,4.39,111.18,57.67
2018,Январь,Подразделение_17,888041.54,223486.98,608682.82,268380.55,151260.07,3.37,15.11,336,25.17,3.31,83.27,56.36
2018,Январь,Подразделение_18,1187863.98,328912.44,776723.43,407730.81,182999.82,2.81,15.58,379,27.69,2.91,80.67,44.88
2018,Январь,Подразделение_19,1090903.68,181099.21,864529.67,491534.62,221365.79,3.08,12.85,280,16.6,2.22,36.84,45.04
2018,Январь,Подразделение_20,1013424.81,257647.12,691365.91,492984.49,200452.49,2.7,16.81,252,25.42,2.06,52.26,40.66
2018,Январь,Подразделение_21,1191562.21,335152.08,772622.11,495695.14,264912.92,2.97,17.28,479,28.13,2.4,67.61,53.44
2018,Январь,Подразделение_22,1176240.51,301338.81,799567.0,495026.94,278841.93,3.01,15.08,458,25.62,2.38,60.87,56.33
2018,Январь,Подразделение_23,1272714.35,403890.74,767850.93,403269.31,202610.01,2.07,11.74,327,31.73,3.16,100.15,50.24
2018,Январь,Подразделение_24,1214201.08,257276.56,892605.38,451313.03,246887.74,1.98,16.96,462,21.19,2.69,57.01,54.7
2018,Январь,Подразделение_25,1327987.24,306987.98,944252.26,445166.66,225223.22,2.78,18.97,236,23.12,2.98,68.96,50.59
2018,Январь,Подразделение_26,1506109.07,414753.2,987667.58,256612.13,138588.92,2.24,14.05,360,27.54,5.87,161.63,54.01
2018,Январь,Подразделение_27,1313625.32,386388.97,830639.1,225241.99,130575.22,2.98,11.01,298,29.41,5.83,171.54,57.97
2018,Январь,Подразделение_28,1578931.07,428114.18,1043788.34,285176.29,141767.62,1.97,11.76,267,27.11,5.54,150.12,49.71
2018,Январь,Подразделение_29,989799.27,198515.5,741654.89,297619.91,157716.7,2.49,15.68,221,20.06,3.33,66.7,52.99
2018,Январь,Подразделение_30,995191.71,255868.13,675356.55,491903.17,284521.37,1.98,15.03,483,25.71,2.02,52.02,57.84
2018,Январь,Подразделение_31,1335139.25,378071.86,862549.43,459250.27,229551.05,2.27,10.44,371,28.32,2.91,82.32,49.98
2018,Январь,Подразделение_32,1552366.87,269524.57,1215461.15,486178.57,230464.07,1.75,14.28,380,17.36,3.19,55.44,47.4
2018,Январь,Подразделение_33,1257833.98,387343.18,773655.0,494099.48,227848.74,2.69,14.85,217,30.79,2.55,78.39,46.11
2018,Январь,Подразделение_34,1245441.01,259842.87,920637.42,480846.43,247160.95,1.93,19.9,326,20.86,2.59,54.04,51.4
2018,Январь,Подразделение_35,3060145.6088215457,591458.3308213976,908755.19,463211.92,249857.97,2.69,12.94,446,20.15,2.62,52.83,53.94
2018,Январь,Подразделение_36,1135824.69,252332.32,820409.28,276862.08,115262.9,2.26,11.94,463,22.22,4.1,91.14,41.63
2018,Январь,Подразделение_37,1361573.5,241814.29,1059305.64,438737.8,205153.37,3.19,15.78,250,17.76,3.1,55.12,46.76
2018,Январь,Подразделение_38,1172478.41,321438.94,770679.74,362793.39,187987.44,2.55,18.23,253,27.42,3.23,88.6,51.82
2018,Январь,Подразделение_39,1229665.94,230612.73,941400.03,297995.37,135381.86,3.33,18.42,246,18.75,4.13,77.39,45.43
2018,Январь,Подразделение_40,1359609.77,406198.01,851862.26,241505.93,143432.15,2.97,13.99,474,29.88,5.63,168.19,59.39
2018,Январь,Подразделение_41,1151177.14,363707.37,696542.92,223536.91,132452.26,2.18,14.09,257,31.59,5.15,162.71,59.25
2018,Январь,Подразделение_42,1532170.98,431511.48,992781.64,332705.67,139328.7,2.14,16.38,388,28.16,4.61,129.7,41.88
2018,Январь,Подразделение_43,1390317.53,308823.84,1004287.74,366306.22,177262.91,2.5,17.58,384,22.21,3.8,84.31,48.39
2018,Январь,Подразделение_44,1073503.73,327348.73,664317.82,227539.72,105187.67,3.85,10.17,238,30.49,4.72,143.86,46.23
2018,Январь,Подразделение_45,1077043.46,232680.39,786192.97,339402.14,139023.12,3.02,12.61,449,21.6,3.17,68.56,40.96
2018,Январь,Подразделение_46,1546749.05,361474.65,1094905.74,350311.97,188044.92,1.99,19.44,359,23.37,4.42,103.19,53.68
2018,Январь,Подразделение_47,1552184.19,400297.15,1051812.76,372642.25,197000.18,2.27,19.41,264,25.79,4.17,107.42,52.87
2018,Январь,Подразделение_48,3952717.8356140465,1094609.3365177421,1002808.87,471605.19,195184.31,3.34,10.94,234,28.87,3.33,96.04,41.39
2018,Январь,Подразделение_49,1069243.37,276224.63,723962.58,396716.79,212768.23,2.48,14.96,313,25.83,2.7,69.63,53.63
2018,Январь,Подразделение_50,1303154.28,263743.61,973474.76,463241.6,259737.8,2.43,17.51,391,20.24,2.81,56.93,56.07
2018,Январь,Подразделение_51,1260739.66,377679.33,788640.5,419494.33,188773.83,2.42,15.62,467,29.96,3.01,90.03,45.0
2018,Январь,Подразделение_52,1143195.22,227808.1,858435.09,425261.32,178875.45,3.44,18.26,386,19.93,2.69,53.57,42.06
2018,Январь,Подразделение_53,879987.91,146635.34,696693.73,216045.59,123022.54,1.68,16.77,251,16.66,4.07,67.87,56.94
2018,Январь,Подразделение_54,1258750.31,312483.15,868146.37,389551.16,178664.58,2.34,17.52,350,24.82,3.23,80.22,45.86
2018,Январь,Подразделение_55,1425036.84,243754.47,1120343.76,234039.38,139218.24,3.24,17.37,420,17.11,6.09,104.15,59.48
2018,Январь,Подразделение_56,1080732.01,321108.53,679346.34,235120.1,129857.33,2.96,10.84,340,29.71,4.6,136.57,55.23
2018,Январь,Подразделение_57,978061.13,173406.81,761302.62,318995.48,136951.45,3.38,15.81,344,17.73,3.07,54.36,42.93
2018,Январь,Подразделение_58,1557798.86,310717.77,1169401.65,495800.32,235630.05,1.93,15.58,290,19.95,3.14,62.67,47.53
2018,Январь,Подразделение_59,998979.32,250232.04,686189.28,299075.76,134804.34,2.58,17.41,200,25.05,3.34,83.67,45.07
2018,Январь,Подразделение_60,1344831.54,344228.91,914545.4,271251.94,134416.99,2.07,14.36,257,25.6,4.96,126.9,49.55
2018,Январь,Подразделение_61,809723.58,253519.93,492823.67,490963.65,283889.23,1.75,10.74,426,31.31,1.65,51.64,57.82
2018,Январь,Подразделение_62,1356328.9,397954.4,858885.9,222630.36,98705.8,2.07,16.97,458,29.34,6.09,178.75,44.34
2018,Январь,Подразделение_63,1520926.41,418324.56,998020.71,213633.91,126061.59,2.5,16.2,207,27.5,7.12,195.81,59.01
2018,Январь,Подразделение_64,935743.92,241306.89,634110.31,394054.51,175700.61,2.73,12.6,344,25.79,2.37,61.24,44.59
2018,Январь,Подразделение_65,1023810.81,228877.92,737713.4,323362.02,146868.29,2.98,19.41,455,22.36,3.17,70.78,45.42
2018,Январь,Подразделение_66,1264930.1,388030.28,779892.25,475752.97,273716.05,2.66,14.11,264,30.68,2.66,81.56,57.53
2018,Январь,Подразделение_67,1184296.07,307587.46,799811.74,495585.82,272530.4,1.87,15.69,297,25.97,2.39,62.07,54.99
2018,Январь,Подразделение_68,829457.49,263611.95,499942.56,240155.64,99681.83,3.19,17.5,458,31.78,3.45,109.77,41.51
2018,Январь,Подразделение_69,1244345.36,210092.14,981730.19,430696.22,245466.47,2.02,11.29,250,16.88,2.89,48.78,56.99
2018,Январь,Подразделение_70,1019785.44,183035.88,790990.59,262168.29,144559.55,2.1,10.22,449,17.95,3.89,69.82,55.14
2018,Январь,Подразделение_71,3064132.3063226645,695981.6073784853,856277.07,431695.52,246254.79,2.17,18.77,311,23.68,2.82,66.71,57.04
2018,Январь,Подразделение_72,1184036.77,230239.59,896237.28,326160.73,172171.21,2.21,16.17,425,19.45,3.63,70.59,52.79
2018,Январь,Подразделение_73,2722066.7123989644,671731.0183399033,733043.62,376975.31,183773.57,3.22,15.14,229,25.72,2.87,73.73,48.75
2018,Январь,Подразделение_74,1297669.36,218107.98,1025034.38,458709.11,196976.43,3.42,12.58,268,16.81,2.83,47.55,42.94
2018,Январь,Подразделение_75,1584026.06,423568.16,1054565.86,347785.43,183171.69,2.7,11.29,382,26.74,4.55,121.79,52.67
2018,Январь,Подразделение_76,1267812.88,264178.21,937590.12,320090.15,139563.61,3.24,18.74,354,20.84,3.96,82.53,43.6
2018,Январь,Подразделение_77,1334046.19,385851.19,851732.2,251695.96,102735.68,2.99,11.77,200,28.92,5.3,153.3,40.82
2018,Январь,Подразделение_78,1227538.8,217182.59,956060.56,306797.45,130618.91,3.0,10.92,246,17.69,4.0,70.79,42.57
2018,Январь,Подразделение_79,1302320.31,234713.83,1008928.02,224527.71,131163.36,1.99,18.06,312,18.02,5.8,104.54,58.42
2018,Январь,Подразделение_80,1277822.47,299196.38,903827.0,495877.1,289993.07,1.69,15.31,353,23.41,2.58,60.34,58.48
2018,Январь,Подразделение_81,829346.56,170732.66,615930.74,275731.08,159659.7,2.13,11.07,493,20.59,3.01,61.92,57.9
2018,Январь,Подразделение_82,1226093.81,339531.23,801679.78,272741.15,129676.64,2.33,12.11,325,27.69,4.5,124.49,47.55
2018,Январь,Подразделение_83,895809.71,201579.76,643835.0,467158.18,250312.91,2.6,10.87,310,22.5,1.92,43.15,53.58
2018,Январь,Подразделение_84,1389457.98,314231.94,996668.06,367322.68,188396.76,2.52,19.0,425,22.62,3.78,85.55,51.29
2018,Январь,Подразделение_85,995482.52,265937.43,663060.74,349474.31,205049.98,1.98,13.65,311,26.71,2.85,76.1,58.67
2018,Январь,Подразделение_86,928545.1,254778.64,610071.8,255970.11,111263.73,4.22,15.25,239,27.44,3.63,99.53,43.47
2018,Январь,Подразделение_87,1357569.17,239668.46,1057983.59,499176.66,257175.66,3.76,19.75,293,17.65,2.72,48.01,51.52
2018,Январь,Подразделение_88,936710.07,160458.29,736137.21,400592.97,204844.25,2.83,17.69,317,17.13,2.34,40.06,51.14
2018,Январь,Подразделение_89,1368761.98,276764.29,1022806.62,259852.08,131476.84,2.36,10.87,338,20.22,5.27,106.51,50.6
2018,Январь,Подразделение_90,1545611.47,347729.67,1110949.39,296192.66,140349.73,2.53,15.49,212,22.5,5.22,117.4,47.38
2018,Январь,Подразделение_91,1347657.24,401316.2,846011.99,226360.43,90666.9,2.68,16.06,293,29.78,5.95,177.29,40.05
2018,Январь,Подразделение_92,885359.4,177642.12,663306.75,455218.24,219280.29,2.44,12.05,234,20.06,1.94,39.02,48.17
2018,Январь,Подразделение_93,1541159.54,481311.61,939520.03,416478.97,231688.45,2.26,18.0,490,31.23,3.7,115.57,55.63
2018,Январь,Подразделение_94,931412.64,198920.35,682762.2,444372.42,224236.14,1.97,13.92,495,21.36,2.1,44.76,50.46
2018,Январь,Подразделение_95,1161558.88,204496.17,905938.67,414134.74,217346.32,2.5,15.77,344,17.61,2.8,49.38,52.48
2018,Январь,Подразделение_96,1519659.66,354128.63,1076998.87,315167.37,183205.03,2.79,19.4,378,23.3,4.82,112.36,58.13
2018,Январь,Подразделение_97,1067924.49,206062.41,810346.48,241781.62,126697.09,2.02,17.89,237,19.3,4.42,85.23,52.4
2018,Январь,Подразделение_98,1401922.5,273975.6,1059453.0,412094.14,176634.1,2.32,14.94,317,19.54,3.4,66.48,42.86
2018,Январь,Подразделение_99,1457005.84,268916.12,1120860.69,233189.52,99221.61,2.45,11.5,246,18.46,6.25,115.32,42.55
2018,Январь,Подразделение_100,1127164.14,358491.75,679049.46,431564.59,224279.17,2.23,15.99,347,31.8,2.61,83.07,51.97
2018,Январь,Подразделение_101,945278.17,214254.21,677460.41,472535.17,226897.35,2.1,11.53,340,22.67,2.0,45.34,48.02
2018,Январь,Подразделение_102,911292.96,254284.92,593436.8,230238.38,125530.37,2.97,19.19,332,27.9,3.96,110.44,54.52
2018,Январь,Подразделение_103,1537999.5,454623.05,969720.7,412171.59,212374.57,2.63,17.36,495,29.56,3.73,110.3,51.53
2018,Январь,Подразделение_104,1472351.71,442221.24,919575.16,473205.86,211608.77,2.87,18.37,200,30.04,3.11,93.45,44.72
2018,Январь,Подразделение_105,1495917.09,337173.62,1074450.06,355651.42,170641.74,2.33,18.03,316,22.54,4.21,94.8,47.98
2018,Январь,Подразделение_106,1282977.23,325464.72,876146.32,234280.19,134173.11,2.6,14.81,216,25.37,5.48,138.92,57.27
2018,Январь,Подразделение_107,1269654.58,220869.22,993568.05,209854.0,94359.86,3.44,10.34,360,17.4,6.05,105.25,44.96
2018,Январь,Подразделение_108,1089915.12,238514.53,791771.95,374176.51,150650.53,3.94,19.61,376,21.88,2.91,63.74,40.26
2018,Январь,Подразделение_109,1245844.3,292012.01,880829.29,458189.61,200179.64,2.91,13.97,410,23.44,2.72,63.73,43.69
2018,Январь,Подразделение_110,1079509.6,237496.26,782639.28,340469.55,161908.66,2.86,12.94,374,22.0,3.17,69.76,47.55
2018,Январь,Подразделение_111,1222118.18,297006.41,850860.18,360336.77,179953.04,3.45,13.34,254,24.3,3.39,82.42,49.94
2018,Январь,Подразделение_112,1556892.37,430762.31,1018439.48,311992.79,164981.76,2.99,11.56,377,27.67,4.99,138.07,52.88
2018,Январь,Подразделение_113,3762867.1507610953,836463.8072912279,1060967.03,322395.35,145328.64,2.43,15.95,448,23.17,4.63,107.35,45.08
2018,Январь,Подразделение_114,1439932.87,310392.83,1051941.84,253563.4,113504.25,2.69,17.22,319,21.56,5.68,122.41,44.76
2018,Январь,Подразделение_115,1445480.12,244133.56,1140313.17,488794.8,209309.93,3.08,10.87,462,16.89,2.96,49.95,42.82
2018,Январь,Подразделение_116,1388723.69,417111.07,867334.85,454438.43,261433.35,2.08,19.11,396,30.04,3.06,91.79,57.53
2018,Январь,Подразделение_117,1073453.88,278292.08,725588.79,277827.03,143930.79,2.06,14.09,421,25.92,3.86,100.17,51.81
2018,Январь,Подразделение_118,1090206.32,310576.14,701986.14,458320.41,272659.14,2.89,15.66,258,28.49,2.38,67.76,59.49
2018,Январь,Подразделение_119,1515641.78,381889.95,1038279.34,439956.58,177959.73,2.75,16.33,400,25.2,3.44,86.8,40.45
2018,Январь,Подразделение_120,911484.86,148112.33,726344.45,450479.07,227554.11,2.43,10.18,345,16.25,2.02,32.88,50.51
2018,Январь,Подразделение_121,1223729.34,294068.87,856143.26,444516.33,183778.64,2.91,17.2,316,24.03,2.75,66.15,41.34
2018,Январь,Подразделение_122,808796.66,142345.8,630864.41,241065.69,138559.26,2.15,16.65,372,17.6,3.36,59.05,57.48
2018,Январь,Подразделение_123,1470485.57,289177.13,1109014.15,321314.45,155647.04,1.98,11.84,380,19.67,4.58,90.0,48.44
2018,Январь,Подразделение_124,1282521.69,330522.13,869369.03,273604.73,125239.49,2.32,12.97,426,25.77,4.69,120.8,45.77
2018,Январь,Подразделение_125,1559445.44,260967.1,1233236.57,318994.81,136210.87,3.29,15.4,426,16.73,4.89,81.81,42.7
2018,Февраль,Подразделение_1,1565300.21,261659.01,1238226.45,453922.35,195610.77,3.08,13.44,495,16.72,3.45,57.64,43.09
2018,Февраль,Подразделение_2,1468960.44,308269.6,1083623.44,348647.39,169779.24,1.99,17.99,371,20.99,4.21,88.42,48.7
2018,Февраль,Подразделение_3,1672544.48,507625.61,1038012.46,201576.15,93313.49,2.46,17.9,256,30.35,8.3,251.83,46.29
2018,Февраль,Подразделение_4,1229104.91,286745.07,870673.57,255539.88,146830.45,2.06,16.59,397,23.33,4.81,112.21,57.46
2018,Февраль,Подразделение_5,1683490.28,364532.23,1227824.99,471009.14,253702.03,1.76,10.44,215,21.65,3.57,77.39,53.86
2018,Февраль,Подразделение_6,1636461.07,374960.3,1167760.69,254172.6,148207.45,1.59,12.97,375,22.91,6.44,147.52,58.31
2018,Февраль,Подразделение_7,947989.72,182720.57,719589.01,326528.8,179268.53,1.91,15.22,302,19.27,2.9,55.96,54.9
2018,Февраль,Подразделение_8,881456.49,249627.23,569422.45,378880.96,160688.48,2.23,13.4,382,28.32,2.33,65.89,42.41
2018,Февраль,Подразделение_9,1193812.63,228452.38,908247.15,371728.33,188719.15,2.34,15.2,307,19.14,3.21,61.46,50.77
2018,Февраль,Подразделение_10,1048015.55,189464.63,811184.76,207320.23,83810.01,3.5,19.39,426,18.08,5.06,91.39,40.43
2018,Февраль,Подразделение_11,909525.25,283381.32,555298.61,202845.63,84730.38,2.46,15.81,435,31.16,4.48,139.7,41.77
2018,Февраль,Подразделение_12,1686470.95,426942.46,1152792.88,430482.02,208470.13,3.25,11.1,341,25.32,3.92,99.18,48.43
2018,Февраль,Подразделение_13,1102452.44,226566.62,819244.17,455846.55,236047.24,1.82,10.45,339,20.55,2.42,49.7,51.78
2018,Февраль,Подразделение_14,1662953.34,463236.9,1083907.22,439396.8,227480.49,2.42,16.01,261,27.86,3.78,105.43,51.77
2018,Февраль,Подразделение_15,3455016.1000044304,534989.388279523,1094697.48,250110.18,111632.76,3.07,16.08,306,16.14,5.48,88.51,44.63
2018,Февраль,Подразделение_16,1000048.83,290184.05,637318.77,266145.86,147954.98,2.71,19.69,376,29.02,3.76,109.03,55.59
2018,Февраль,Подразделение_17,1290521.31,304556.53,909825.66,379182.22,171408.06,2.79,19.96,202,23.6,3.4,80.32,45.2
2018,Февраль,Подразделение_18,1543458.16,438634.11,995165.52,267332.17,135642.98,2.46,10.91,304,28.42,5.77,164.08,50.74
2018,Февраль,Подразделение_19,1182494.3,288211.36,822230.11,281887.81,115256.97,4.54,13.29,224,24.37,4.19,102.24,40.89
2018,Февраль,Подразделение_20,1318228.77,335683.64,898624.21,226096.03,107291.09,2.14,14.96,236,25.46,5.83,148.47,47.45
2018,Февраль,Подразделение_21,1037155.72,319256.3,638085.34,404977.63,230935.0,2.21,15.92,385,30.78,2.56,78.83,57.02
2018,Февраль,Подразделение_22,1335621.1,311193.54,946629.18,398633.6,228376.62,2.36,18.68,291,23.3,3.35,78.07,57.29
2018,Февраль,Подразделение_23,1572994.47,325078.06,1166646.89,460188.26,261112.05,2.18,16.19,387,20.67,3.42,70.64,56.74
2018,Февраль,Подразделение_24,984814.34,177763.95,762609.41,464261.23,188420.17,4.27,13.35,357,18.05,2.12,38.29,40.58
2018,Февраль,Подразделение_25,1622396.11,374791.22,1153907.08,200336.03,110450.7,2.42,10.84,354,23.1,8.1,187.08,55.13
2018,Февраль,Подразделение_26,1684008.25,468880.82,1097907.23,389544.06,205212.25,2.11,11.07,273,27.84,4.32,120.37,52.68
2018,Февраль,Подразделение_27,1217404.67,313184.42,825924.14,452036.45,197042.45,2.76,11.74,441,25.73,2.69,69.28,43.59
2018,Февраль,Подразделение_28,1655203.21,325483.32,1248349.06,249913.28,135381.62,2.93,10.75,409,19.66,6.62,130.24,54.17
2018,Февраль,Подразделение_29,1590806.29,262450.49,1262743.17,492046.69,270591.42,1.72,10.25,232,16.5,3.23,53.34,54.99
2018,Февраль,Подразделение_30,1125068.69,221340.18,848393.46,346592.96,186002.26,2.57,19.97,298,19.67,3.25,63.86,53.67
2018,Февраль,Подразделение_31,1233678.97,237890.9,936315.35,249087.15,134192.32,2.61,16.8,221,19.28,4.95,95.51,53.87
2018,Февраль,Подразделение_32,961634.86,159518.04,762237.3,460416.3,187048.94,2.79,18.57,283,16.59,2.09,34.65,40.63
2018,Февраль,Подразделение_33,1187955.24,193118.25,946557.42,282264.56,136013.92,3.47,12.13,480,16.26,4.21,68.42,48.19
2018,Февраль,Подразделение_34,1457685.43,356483.98,1012080.46,368825.09,187601.61,2.49,10.91,207,24.46,3.95,96.65,50.86
2018,Февраль,Подразделение_35,1505283.57,298401.64,1132281.52,453434.97,238164.03,2.65,19.21,245,19.82,3.32,65.81,52.52
2018,Февраль,Подразделение_36,1242782.7,278715.94,894387.77,200369.55,104484.96,2.09,12.26,413,22.43,6.2,139.1,52.15
2018,Февраль,Подразделение_37,1344675.69,258702.89,1021297.08,280698.02,129702.81,3.52,10.72,294,19.24,4.79,92.16,46.21
2018,Февраль,Подразделение_38,1463604.48,291067.78,1099769.76,397095.16,234496.5,2.21,17.49,240,19.89,3.69,73.3,59.05
2018,Февраль,Подразделение_39,2659759.032239721,758313.2967555685,663530.56,495998.78,247889.09,2.38,15.6,441,29.72,2.13,63.26,49.98
2018,Февраль,Подразделение_40,1127492.11,344946.47,696309.02,355313.49,167041.89,2.74,13.97,393,30.59,3.17,97.08,47.01
2018,Февраль,Подразделение_41,1680846.43,351446.45,1241538.37,260257.73,146860.35,1.67,19.52,322,20.91,6.46,135.04,56.43
2018,Февраль,Подразделение_42,2209074.9775880263,660514.4565888196,535223.12,480863.67,244403.42,2.25,17.14,283,31.17,1.82,56.84,50.83
2018,Февраль,Подразделение_43,1138532.66,349736.31,701362.27,444447.53,257318.82,1.9,14.52,202,30.72,2.56,78.69,57.9
2018,Февраль,Подразделение_44,884640.99,221003.53,608386.58,249199.84,135805.27,2.21,14.79,442,24.98,3.55,88.69,54.5
2018,Февраль,Подразделение_45,1036331.89,275764.47,691626.3,492759.58,215051.9,2.96,14.98,281,26.61,2.1,55.96,43.64
2018,Февраль,Подразделение_46,867731.97,231536.63,578311.19,395978.91,201353.58,3.1,14.03,292,26.68,2.19,58.47,50.85
2018,Февраль,Подразделение_47,3037411.3758772667,540590.877918037,926040.47,261073.48,113524.85,3.55,18.46,492,18.55,4.62,85.68,43.48
2018,Февраль,Подразделение_48,1144044.74,185307.87,912409.9,311311.63,127021.94,3.38,14.39,316,16.2,3.67,59.52,40.8
2018,Февраль,Подразделение_49,1186187.89,266138.13,853515.23,381856.61,213301.75,1.91,12.84,324,22.44,3.11,69.7,55.86
2018,Февраль,Подразделение_50,1029062.86,225313.69,747420.75,386889.98,211482.81,1.76,19.09,286,21.9,2.66,58.24,54.66
2018,Февраль,Подразделение_51,3495979.918176219,798121.0872344822,974862.74,311854.59,150502.97,2.21,10.97,310,23.8,4.45,105.89,48.26
2018,Февраль,Подразделение_52,1353980.64,289725.58,991823.66,373824.47,156652.0,3.49,13.99,362,21.4,3.62,77.5,41.91
2018,Февраль,Подразделение_53,1408226.16,276356.36,1062780.72,297557.02,126811.28,3.57,12.36,394,19.62,4.73,92.88,42.62
2018,Февраль,Подразделение_54,1225720.72,304218.47,845447.62,299266.81,159771.99,2.06,15.88,200,24.82,4.1,101.65,53.39
2018,Февраль,Подразделение_55,1064648.61,276066.18,719565.89,307775.22,160384.02,2.22,17.82,319,25.93,3.46,89.7,52.11
2018,Февраль,Подразделение_56,1534819.63,277919.91,1187419.74,375606.31,165705.58,2.7,10.57,492,18.11,4.09,73.99,44.12
2018,Февраль,Подразделение_57,1646114.84,494595.64,1027870.29,211803.06,103876.65,3.29,15.07,405,30.05,7.77,233.52,49.04
2018,Февраль,Подразделение_58,1434976.69,349009.96,998714.24,319213.7,171479.54,2.06,19.73,238,24.32,4.5,109.33,53.72
2018,Февраль,Подразделение_59,1236528.88,298973.57,862811.91,354678.81,189176.05,2.62,13.08,433,24.18,3.49,84.29,53.34
2018,Февраль,Подразделение_60,1472964.08,426959.48,939264.74,248714.57,135839.41,2.28,19.63,374,28.99,5.92,171.67,54.62
2018,Февраль,Подразделение_61,1438732.06,242946.78,1135048.59,451434.59,242262.19,2.2,18.69,431,16.89,3.19,53.82,53.66
2018,Февраль,Подразделение_62,1503241.46,289702.2,1141113.71,233932.95,136554.98,1.83,18.27,268,19.27,6.43,123.84,58.37
2018,Февраль,Подразделение_63,1340607.45,394827.67,847072.86,304572.1,158679.26,1.88,19.93,468,29.45,4.4,129.63,52.1
2018,Февраль,Подразделение_64,1515027.66,305805.5,1132770.79,370104.88,213070.53,2.29,16.68,281,20.18,4.09,82.63,57.57
2018,Февраль,Подразделение_65,1596207.49,288875.09,1235113.63,295158.72,140240.07,2.25,13.28,264,18.1,5.41,97.87,47.51
2018,Февраль,Подразделение_66,1161492.3,242432.77,858451.34,318851.81,152319.21,2.95,13.73,301,20.87,3.64,76.03,47.77
2018,Февраль,Подразделение_67,912216.54,194380.53,669240.87,381034.58,199623.28,2.5,18.63,316,21.31,2.39,51.01,52.39
2018,Февраль,Подразделение_68,1541701.35,456592.28,970961.0,232675.5,117576.69,2.25,13.94,220,29.62,6.63,196.24,50.53
2018,Февраль,Подразделение_69,1016411.29,219955.51,741466.89,202268.86,117236.27,1.59,10.6,476,21.64,5.03,108.74,57.96
2018,Февраль,Подразделение_70,1257305.75,368877.09,796209.38,258367.5,135247.72,2.22,19.3,355,29.34,4.87,142.77,52.35
2018,Февраль,Подразделение_71,3296014.3022477194,703033.6424090826,944670.61,293392.31,159379.54,2.19,11.22,462,22.23,4.46,99.15,54.32
2018,Февраль,Подразделение_72,1428950.18,337194.89,1007456.57,254431.5,137853.34,1.88,12.57,235,23.6,5.62,132.53,54.18
2018,Февраль,Подразделение_73,1210848.31,229431.8,924058.56,226111.69,107335.66,3.3,10.03,317,18.95,5.36,101.47,47.47
2018,Февраль,Подразделение_74,1287898.89,248565.75,977191.7,378061.57,200116.0,2.21,19.06,351,19.3,3.41,65.75,52.93
2018,Февраль,Подразделение_75,1150408.17,224462.95,869829.49,271061.17,123322.32,3.23,16.68,345,19.51,4.24,82.81,45.5
2018,Февраль,Подразделение_76,1501657.71,378671.27,1028318.63,244911.19,105457.97,2.19,14.73,348,25.22,6.13,154.62,43.06
2018,Февраль,Подразделение_77,931357.37,202369.58,678395.4,207091.58,107981.44,2.82,13.91,453,21.73,4.5,97.72,52.14
